I_COMMODITY_LDESC,I_COMMODITY_SDESC,GEN_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CTY_CODE,CTY_NAME,COMM_LVL,SUMMARY_LVL,I_COMMODITY,YEAR,MONTH
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,8156699,665527,12340,6271809,559519,-,TOTAL FOR ALL COUNTRIES,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,788327,0,0,0,0,1220,CANADA,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,258740,0,0,0,0,2010,MEXICO,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,11854,0,0,11854,855,3010,COLOMBIA,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,68675,0,0,57200,22704,3570,ARGENTINA,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,63850,21596,1601,42254,1349,4120,UNITED KINGDOM,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,7214,2034,33,5180,400,4279,FRANCE,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,74525,0,0,59884,4426,4280,GERMANY,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,15120,0,0,15120,1427,4550,POLAND,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,26947,0,0,26947,2826,4621,RUSSIA,HS6,DET,090210,2022,01
GREEN TEA (NOT FERMENTED) IN IMMEDIATE PACKINGS OF A CONTENT NOT EXCEEDING 3 KG (6.61 LB.),GREEN TEA NT FERMTD IN IMMED PACKG CONTENT NOV 3KG,7006,0,0,7006,903,4623,UKRAINE,HS6,DET,090210,2022,01
